time_s,state,joint_action_id,joint_action,throughput_mbps,collision_rate,efficiency,delivered_packets,failed_attempts
1,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.823488,0.25210555867490175,17.429431447533634,2664,898
2,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.856256,0.2337736932797243,17.714963545623835,2668,814
3,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.839872,0.376374269005848,15.867684024473146,2666,1609
4,s_congested,3,a_aggr-a_aggr-a_cons-a_cons,21.823488,0.29318121517643936,16.875815812884692,2664,1105
5,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.856256,0.23574906903466056,17.68664573388966,2668,823
6,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.848064,0.3796231681786462,15.836254786039454,2667,1632
7,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.823488,0.2539904788574629,17.40323261456007,2664,907
8,s_congested,12,a_cons-a_cons-a_aggr-a_aggr,21.856256,0.3111283242964111,16.669806909807008,2668,1205
9,s_congested,14,a_cons-a_cons-a_cons-a_aggr,21.848064,0.23930405019965773,17.629300893901036,2667,839
10,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.815296,0.37910934949871766,15.818394681994928,2663,1626
11,s_congested,13,a_cons-a_cons-a_aggr-a_cons,21.856256,0.24031890660592256,17.62148096235078,2668,844
12,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.856256,0.24096728307254622,17.612274149472718,2668,847
13,s_congested,7,a_aggr-a_cons-a_cons-a_cons,21.823488,0.23755008586147683,17.63442809250694,2664,830
14,s_idle,0,a_aggr-a_aggr-a_aggr-a_aggr,21.856256,0.37648983407338166,15.878254571137518,2668,1611
15,s_congested,9,a_cons-a_aggr-a_aggr-a_cons,21.856256,0.3077322262584328,16.713097346031745,2668,1186
16,s_congested,11,a_cons-a_aggr-a_cons-a_cons,21.823488,0.24553950722175022,17.52131335334243,2664,867
17,s_congested,12,a_cons-a_cons-a_aggr-a_aggr,21.856256,0.2923076923076923,16.912579047619044,2668,1102
18,s_congested,3,a_aggr-a_aggr-a_cons-a_cons,21.848064,0.2826788596019365,17.033152013420004,2667,1051
