Time_s,Throughput_Mbps,CollisionRate,State
1.6,21.6269,0.264624,s_congested
1.7,22.1184,0.143312,s_congested
1.8,21.463,0.165079,s_congested
1.9,22.2003,0.16358,s_congested
2,21.7907,0.0952381,s_idle
2.1,21.545,0.319372,s_congested
2.2,22.2822,0.0833333,s_idle
2.3,21.7907,0.247159,s_congested
2.4,21.7907,0.17134,s_congested
2.5,21.8726,0.17284,s_congested
2.6,21.8726,0.207715,s_congested
2.7,21.9546,0.133117,s_congested
2.8,21.2173,0.189873,s_congested
2.9,22.2822,0.158537,s_congested
3,21.545,0.264789,s_congested
3.1,22.2003,0.216138,s_congested
3.2,21.7088,0.208955,s_congested
3.3,21.9546,0.135048,s_congested
3.4,21.7907,0.0699301,s_idle
3.5,21.8726,0.135922,s_congested
3.6,21.463,0.210843,s_congested
3.7,22.2003,0.155763,s_congested
3.8,21.9546,0.146497,s_congested
3.9,21.3811,0.109589,s_idle
4,21.2992,0.382134,s_congested
4.1,22.6918,0.129909,s_congested
4.2,21.7088,0.107383,s_idle
4.3,21.6269,0.241983,s_congested
4.4,21.8726,0.21902,s_congested
4.5,22.2822,0.23796,s_congested
4.6,21.9546,0.0996678,s_idle
4.7,21.7907,0.187117,s_congested
4.8,21.7907,0.178462,s_congested
4.9,21.7088,0.131148,s_congested
5,21.9546,0.27248,s_congested
5.1,22.0365,0.217391,s_congested
5.2,21.6269,0.0736842,s_idle
5.3,21.463,0.331633,s_congested
5.4,22.2822,0.163077,s_congested
5.5,21.7907,0.127869,s_congested
5.6,21.8726,0.230548,s_congested
5.7,22.0365,0.126623,s_congested
5.8,21.7907,0.16875,s_congested
5.9,21.7088,0.189602,s_congested
6,21.7088,0.199396,s_congested
6.1,22.1184,0.135048,s_congested
6.2,21.7088,0.210682,s_congested
6.3,21.9546,0.170279,s_congested
6.4,21.8726,0.121711,s_congested
6.5,21.8726,0.178462,s_congested
6.6,21.7907,0.173913,s_congested
6.7,21.8726,0.175926,s_congested
6.8,21.8726,0.115894,s_idle
6.9,21.8726,0.155063,s_congested
7,21.7088,0.122517,s_congested
7.1,21.8726,0.141479,s_congested
7.2,21.7907,0.186544,s_congested
7.3,21.9546,0.149206,s_congested
7.4,21.7907,0.130719,s_congested
7.5,21.8726,0.247887,s_congested
7.6,21.7907,0.0763889,s_idle
7.7,20.8896,0.258721,s_congested
7.8,22.7738,0.166163,s_congested
7.9,21.8726,0.130293,s_congested
8,21.7907,0.104027,s_idle
8.1,21.2173,0.28022,s_congested
8.2,22.3642,0.169753,s_congested
8.3,21.463,0.122924,s_congested
8.4,22.2822,0.147335,s_congested
8.5,21.545,0.137705,s_congested
8.6,21.7088,0.0636042,s_idle
8.7,22.0365,0.174847,s_congested
8.8,22.2822,0.278515,s_congested
8.9,21.7907,0.323155,s_congested
9,21.545,0.311518,s_congested
9.1,21.9546,0.175926,s_congested
9.2,21.8726,0.207101,s_congested
9.3,21.463,0.241176,s_congested
9.4,22.2822,0.158537,s_congested
9.5,21.8726,0.163009,s_congested
9.6,21.8726,0.189024,s_congested
9.7,21.9546,0.192192,s_congested
9.8,21.7907,0.246459,s_congested
9.9,21.9546,0.324937,s_congested
10,21.545,0.20122,s_congested
10.1,22.1184,0.223496,s_congested
10.2,21.463,0.13245,s_congested
10.3,22.0365,0.123779,s_congested
10.4,21.8726,0.209581,s_congested
10.5,21.9546,0.14511,s_congested
10.6,21.7907,0.255618,s_congested
10.7,21.9546,0.149682,s_congested
10.8,21.7907,0.165625,s_congested
10.9,21.8726,0.326633,s_congested
11,21.7907,0.122517,s_congested
11.1,21.8726,0.12987,s_congested
11.2,21.8726,0.13871,s_congested
11.3,21.7088,0.145161,s_congested
11.4,21.7907,0.163522,s_congested
11.5,21.9546,0.104027,s_idle
11.6,21.463,0.268571,s_congested
11.7,22.1184,0.171687,s_congested
11.8,21.9546,0.142857,s_congested
11.9,21.463,0.186335,s_congested
12,22.2822,0.12013,s_congested
12.1,21.7088,0.147436,s_congested
12.2,21.463,0.159236,s_congested
12.3,22.2003,0.120915,s_congested
12.4,21.7088,0.131148,s_congested
12.5,22.0365,0.0881356,s_idle
12.6,21.7088,0.175,s_congested
12.7,21.3811,0.126667,s_congested
12.8,22.1184,0.171779,s_congested
12.9,21.8726,0.0361011,s_idle
13,22.2003,0.15047,s_congested
13.1,21.8726,0.165625,s_congested
13.2,21.8726,0.219298,s_congested
13.3,21.7088,0.279891,s_congested
13.4,22.0365,0.238636,s_congested
13.5,21.6269,0.295213,s_congested
13.6,22.0365,0.106312,s_idle
13.7,21.7907,0.189024,s_congested
13.8,21.463,0.224852,s_congested
13.9,21.7088,0.207207,s_congested
14,22.2003,0.153125,s_congested
14.1,22.0365,0.148265,s_congested
14.2,21.7088,0.189602,s_congested
14.3,21.7907,0.242857,s_congested
14.4,21.8726,0.165109,s_congested
14.5,21.9546,0.149682,s_congested
14.6,21.9546,0.115132,s_idle
14.7,21.7088,0.190184,s_congested
14.8,21.7088,0.226744,s_congested
14.9,22.1184,0.211765,s_congested
15,21.8726,0.112211,s_idle
15.1,21.7088,0.218935,s_congested
15.2,21.8726,0.223188,s_congested
15.3,21.7907,0.271233,s_congested
15.4,21.7088,0.145161,s_congested
15.5,22.1184,0.164087,s_congested
15.6,21.3811,0.22619,s_congested
15.7,22.2822,0.149533,s_congested
15.8,21.2992,0.244186,s_congested
15.9,22.2003,0.184848,s_congested
16,21.7088,0.193353,s_congested
16.1,22.2003,0.179331,s_congested
16.2,21.545,0.17757,s_congested
16.3,21.9546,0.118812,s_idle
16.4,21.463,0.180685,s_congested
16.5,22.1184,0.142857,s_congested
16.6,22.0365,0.214076,s_congested
16.7,21.7907,0.157729,s_congested
16.8,21.9546,0.0464286,s_idle
16.9,21.7088,0.182099,s_congested
17,21.545,0.125828,s_congested
17.1,22.0365,0.0949153,s_idle
17.2,21.7088,0.118812,s_idle
17.3,22.2822,0.163077,s_congested
17.4,21.7088,0.287634,s_congested
17.5,21.8726,0.223837,s_congested
17.6,21.8726,0.274457,s_congested
17.7,21.9546,0.182927,s_congested
17.8,21.6269,0.17757,s_congested
17.9,21.9546,0.12987,s_congested
18,21.8726,0.256267,s_congested
18.1,21.7088,0.208955,s_congested
18.2,22.0365,0.12945,s_congested
18.3,21.6269,0.175,s_congested
18.4,22.0365,0.135048,s_congested
18.5,21.7907,0.186544,s_congested
18.6,21.6269,0.221239,s_congested
18.7,22.0365,0.182371,s_congested
18.8,21.7907,0.329975,s_congested
18.9,21.6269,0.22807,s_congested
19,22.0365,0.182371,s_congested
19.1,21.6269,0.167192,s_congested
19.2,22.1184,0.228571,s_congested
19.3,21.9546,0.127036,s_congested
19.4,21.7907,0.0795848,s_idle
19.5,21.8726,0.25,s_congested
19.6,21.7088,0.177019,s_congested
19.7,21.8726,0.205357,s_congested
19.8,21.9546,0.138264,s_congested
19.9,21.8726,0.104027,s_idle
20,21.8726,0.146965,s_congested
20.1,21.7907,0.127869,s_congested
20.2,21.545,0.200608,s_congested
20.3,22.1184,0.117647,s_idle
20.4,21.7088,0.169811,s_congested
20.5,21.7088,0.160883,s_congested
20.6,21.7088,0.226471,s_congested
20.7,22.2822,0.2149,s_congested
20.8,21.7907,0.0986395,s_idle
20.9,21.6269,0.257703,s_congested
21,22.1184,0.126214,s_congested
21.1,21.545,0.114478,s_idle
21.2,22.0365,0.103679,s_idle
21.3,21.7907,0.144231,s_congested
21.4,21.6269,0.0801394,s_idle
21.5,21.7088,0.267956,s_congested
21.6,22.2822,0.227273,s_congested
21.7,21.8726,0.205357,s_congested
21.8,21.9546,0.154574,s_congested
21.9,21.6269,0.25641,s_congested
22,22.1184,0.138801,s_congested
22.1,21.6269,0.17757,s_congested
22.2,21.6269,0.204268,s_congested
22.3,22.1184,0.197059,s_congested
22.4,21.7907,0.248588,s_congested
22.5,21.9546,0.227666,s_congested
22.6,21.8726,0.104027,s_idle
22.7,21.7907,0.127869,s_congested
22.8,21.8726,0.168224,s_congested
22.9,21.6269,0.125828,s_congested
23,22.1184,0.131833,s_congested
23.1,21.6269,0.212575,s_congested
23.2,22.0365,0.0753425,s_idle
